epoch,train_loss,train_eval,test_loss,test_eval
68,0.23101128456871503,[0.0; 0.0; 0.0; 0.0; 0.0],0.9205064721274794,[0.7887713313102722; 0.843436598777771; 0.4768108129501343; 0.9252722263336182; 0.8027094602584839]
69,0.22413573511125762,[0.0; 0.0; 0.0; 0.0; 0.0],0.9159079716916669,[0.800866961479187; 0.8365180492401123; 0.479603111743927; 0.9308551549911499; 0.7957457304000854]
70,0.22692159173504406,[0.0; 0.0; 0.0; 0.0; 0.0],0.936042657023982,[0.7870512008666992; 0.8378912210464478; 0.4922919273376465; 0.9233546257019043; 0.787971019744873]
71,0.22102476534727655,[0.0; 0.0; 0.0; 0.0; 0.0],0.9087780578094616,[0.7910671234130859; 0.8433452844619751; 0.4877532124519348; 0.9279353618621826; 0.8110573291778564]
72,0.22273571137955647,[0.0; 0.0; 0.0; 0.0; 0.0],0.9040137780340094,[0.7846840620040894; 0.8377213478088379; 0.4820913076400757; 0.9279573559761047; 0.8041597604751587]
73,0.21535691740628637,[0.0; 0.0; 0.0; 0.0; 0.0],0.9254145664081239,[0.7848473787307739; 0.8401072025299072; 0.4768475890159607; 0.9307947754859924; 0.8108185529708862]
74,0.2115993004366262,[0.0; 0.0; 0.0; 0.0; 0.0],0.9174435609265378,[0.7777172327041626; 0.8447468280792236; 0.48828980326652527; 0.9283735752105713; 0.8017065525054932]
75,0.2096384796940991,[0.0; 0.0; 0.0; 0.0; 0.0],0.9182514213679129,[0.786483108997345; 0.8445543050765991; 0.4947189688682556; 0.9275757074356079; 0.80861496925354]
76,0.20602048002594617,[0.0; 0.0; 0.0; 0.0; 0.0],0.936389336460515,[0.7904728055000305; 0.850685715675354; 0.5036553740501404; 0.9256165027618408; 0.7958433032035828]
77,0.20474082553886683,[0.0; 0.0; 0.0; 0.0; 0.0],0.9396365274462783,[0.7931602001190186; 0.839492917060852; 0.4842740595340729; 0.9288668036460876; 0.8015803098678589]
78,0.2025775934094625,[0.0; 0.0; 0.0; 0.0; 0.0],0.9326482906676176,[0.7860097885131836; 0.847636878490448; 0.49684345722198486; 0.9280529022216797; 0.8044663667678833]
79,0.20125554860559258,[0.0; 0.0; 0.0; 0.0; 0.0],0.8765628620197898,[0.787535548210144; 0.843336820602417; 0.5157149434089661; 0.9258920550346375; 0.7998142838478088]
80,0.19828335927680102,[0.0; 0.0; 0.0; 0.0; 0.0],0.9467968679310983,[0.7893341183662415; 0.8481941223144531; 0.5036003589630127; 0.9272260665893555; 0.7954398393630981]
81,0.19488358366042047,[0.0; 0.0; 0.0; 0.0; 0.0],0.9361981299885532,[0.7969508171081543; 0.8373284339904785; 0.4956927001476288; 0.9265472888946533; 0.8066747188568115]
82,0.19335537698226785,[0.0; 0.0; 0.0; 0.0; 0.0],0.9580454763613249,[0.7925320863723755; 0.8467522859573364; 0.4950375556945801; 0.9263961315155029; 0.8009949326515198]
83,0.1909626570034764,[0.0; 0.0; 0.0; 0.0; 0.0],0.9273659848330313,[0.7883533239364624; 0.8447083234786987; 0.48010343313217163; 0.9275906085968018; 0.8028979301452637]
84,0.1882638388516887,[0.0; 0.0; 0.0; 0.0; 0.0],0.9992124051378485,[0.7929846048355103; 0.8458442687988281; 0.4904114007949829; 0.9292992949485779; 0.7867177128791809]
85,0.18583731734857917,[0.0; 0.0; 0.0; 0.0; 0.0],0.9337683393244158,[0.7910250425338745; 0.849748432636261; 0.5133925676345825; 0.9309332966804504; 0.7965540289878845]
86,0.18237219083124964,[0.0; 0.0; 0.0; 0.0; 0.0],0.9623458176328424,[0.7970747947692871; 0.8474313020706177; 0.4985221326351166; 0.9291847944259644; 0.808681309223175]
87,0.18191001204070667,[0.0; 0.0; 0.0; 0.0; 0.0],0.9718902152881288,[0.794826328754425; 0.8398877382278442; 0.49999138712882996; 0.9294659495353699; 0.7994467616081238]
88,0.18040686730649033,[0.0; 0.0; 0.0; 0.0; 0.0],0.9545107870771173,[0.7944950461387634; 0.8474838733673096; 0.5127196907997131; 0.9290159344673157; 0.7998133897781372]
89,0.17894926525767538,[0.0; 0.0; 0.0; 0.0; 0.0],0.9920895225123355,[0.7959312200546265; 0.8494571447372437; 0.5015292167663574; 0.9292113780975342; 0.7986907958984375]
90,0.17748510577689205,[0.0; 0.0; 0.0; 0.0; 0.0],1.0009382942266631,[0.7872858047485352; 0.8475738763809204; 0.5049376487731934; 0.928048312664032; 0.7934091687202454]
91,0.17713172121947965,[0.0; 0.0; 0.0; 0.0; 0.0],0.9878422398316232,[0.7907816767692566; 0.8432382941246033; 0.49960458278656006; 0.9297066926956177; 0.7980000376701355]
92,0.17482689671037477,[0.0; 0.0; 0.0; 0.0; 0.0],1.0034518325537967,[0.789278507232666; 0.8423720002174377; 0.4959476590156555; 0.9294425249099731; 0.7956154346466064]
93,0.17353352206958578,[0.0; 0.0; 0.0; 0.0; 0.0],1.0042732786713986,[0.7946187257766724; 0.8403782844543457; 0.5057991743087769; 0.9286266565322876; 0.7945706248283386]
94,0.1737462283496562,[0.0; 0.0; 0.0; 0.0; 0.0],0.9835613861418607,[0.7934842109680176; 0.8469212651252747; 0.5045969486236572; 0.9308797717094421; 0.801836371421814]
95,0.17190182988612068,[0.0; 0.0; 0.0; 0.0; 0.0],0.9853643910926685,[0.7929649353027344; 0.8405944108963013; 0.5110437273979187; 0.9299339056015015; 0.7987542152404785]
96,0.17009161294296088,[0.0; 0.0; 0.0; 0.0; 0.0],1.0260576720823322,[0.7910610437393188; 0.8436092138290405; 0.5002002716064453; 0.9290385842323303; 0.7971291542053223]
97,0.1708999898523158,[0.0; 0.0; 0.0; 0.0; 0.0],0.9901046543790583,[0.7929726839065552; 0.8447188138961792; 0.5072493553161621; 0.9286782145500183; 0.7970120310783386]
98,0.1682012847256713,[0.0; 0.0; 0.0; 0.0; 0.0],0.9983737280494288,[0.7939229011535645; 0.8459979295730591; 0.5060153007507324; 0.9301116466522217; 0.7995436787605286]
99,0.16765727211308007,[0.0; 0.0; 0.0; 0.0; 0.0],1.008679697388097,[0.7942357063293457; 0.843599259853363; 0.5007995367050171; 0.929344117641449; 0.7989615201950073]
100,0.16763874483819038,[0.0; 0.0; 0.0; 0.0; 0.0],1.013295617019921,[0.7950781583786011; 0.8435786962509155; 0.5019107460975647; 0.9293032884597778; 0.7999476790428162]
