epoch,train_loss,train_eval,test_loss,test_eval
33,0.9282308591912124,[0.0; 0.0; 0.0; 0.0; 0.0],0.8925547892587227,[0.5647872686386108; 0.7381850481033325; 0.0808907151222229; 0.8464584350585938; 0.6624717712402344]
34,0.9040891611023455,[0.0; 0.0; 0.0; 0.0; 0.0],0.8685502598160192,[0.6006318926811218; 0.7245344519615173; 0.07514479011297226; 0.8574961423873901; 0.651457667350769]
35,0.8864597297925296,[0.0; 0.0; 0.0; 0.0; 0.0],0.8634456092851204,[0.5762075185775757; 0.7233426570892334; 0.07508331537246704; 0.8522838950157166; 0.6754318475723267]
36,0.8803566324526637,[0.0; 0.0; 0.0; 0.0; 0.0],0.8433488753803989,[0.589531421661377; 0.7442817687988281; 0.08226101100444794; 0.8626890182495117; 0.6993744373321533]
37,0.8628822512447702,[0.0; 0.0; 0.0; 0.0; 0.0],0.8381441779303969,[0.5861798524856567; 0.6881532669067383; 0.08479044586420059; 0.8649342060089111; 0.7029629349708557]
38,0.8451759454693489,[0.0; 0.0; 0.0; 0.0; 0.0],0.8408503490581847,[0.5836381912231445; 0.7317243814468384; 0.10910112410783768; 0.8654099702835083; 0.698586106300354]
39,0.8368872351467478,[0.0; 0.0; 0.0; 0.0; 0.0],0.8409733751363921,[0.6109723448753357; 0.696341872215271; 0.07629737257957458; 0.8615008592605591; 0.6630920767784119]
40,0.8395650707859603,[0.0; 0.0; 0.0; 0.0; 0.0],0.8337511692130775,[0.5953824520111084; 0.7183598875999451; 0.08789031952619553; 0.8750574588775635; 0.7024704217910767]
41,0.8281046158693748,[0.0; 0.0; 0.0; 0.0; 0.0],0.8339005415899712,[0.5784434080123901; 0.7466145753860474; 0.098369300365448; 0.8671566247940063; 0.7088186740875244]
42,0.8193247484055576,[0.0; 0.0; 0.0; 0.0; 0.0],0.8402975578057138,[0.5810494422912598; 0.7051425576210022; 0.10090208053588867; 0.869034469127655; 0.7075788378715515]
43,0.8123695428008275,[0.0; 0.0; 0.0; 0.0; 0.0],0.8069060277520564,[0.5933895111083984; 0.7322937846183777; 0.12033400684595108; 0.87507164478302; 0.7224223017692566]
44,0.7955254711062703,[0.0; 0.0; 0.0; 0.0; 0.0],0.7996922490889566,[0.5977638959884644; 0.7337865829467773; 0.15496844053268433; 0.8736401796340942; 0.7084699869155884]
45,0.7883517032953814,[0.0; 0.0; 0.0; 0.0; 0.0],0.8066882846648233,[0.5953482389450073; 0.7484465837478638; 0.13593783974647522; 0.874413251876831; 0.7199475765228271]
46,0.7693793194709762,[0.0; 0.0; 0.0; 0.0; 0.0],0.774061545991061,[0.5964313745498657; 0.7574408054351807; 0.1627814769744873; 0.8772145509719849; 0.7306631803512573]
47,0.754530701942528,[0.0; 0.0; 0.0; 0.0; 0.0],0.7944721077617846,[0.6014389395713806; 0.7573096752166748; 0.17803744971752167; 0.8763032555580139; 0.7066724300384521]
48,0.7441077891564527,[0.0; 0.0; 0.0; 0.0; 0.0],0.7686986714078669,[0.6303433179855347; 0.752116322517395; 0.20784160494804382; 0.8806127309799194; 0.7314508557319641]
49,0.7483060853370768,[0.0; 0.0; 0.0; 0.0; 0.0],0.7878538506072864,[0.6227720975875854; 0.7508434653282166; 0.21565783023834229; 0.8750516772270203; 0.719727635383606]
50,0.7391490516546809,[0.0; 0.0; 0.0; 0.0; 0.0],0.7776791139652854,[0.6627422571182251; 0.7268202900886536; 0.23531490564346313; 0.880138099193573; 0.7401792407035828]
51,0.7265312417716643,[0.0; 0.0; 0.0; 0.0; 0.0],0.7954195277732715,[0.6192921996116638; 0.7449387907981873; 0.22678929567337036; 0.8821779489517212; 0.7157351970672607]
52,0.7170291465376123,[0.0; 0.0; 0.0; 0.0; 0.0],0.7551742447049994,[0.6350417137145996; 0.7348601818084717; 0.25153398513793945; 0.8751319646835327; 0.7321426868438721]
53,0.7120934960331612,[0.0; 0.0; 0.0; 0.0; 0.0],0.7953272848798517,[0.6074270009994507; 0.7447099685668945; 0.2545595169067383; 0.8791079521179199; 0.7442596554756165]
54,0.7179879584322966,[0.0; 0.0; 0.0; 0.0; 0.0],0.782665445093523,[0.6759377717971802; 0.72182697057724; 0.24318617582321167; 0.8842914700508118; 0.7295319437980652]
55,0.6898672025461597,[0.0; 0.0; 0.0; 0.0; 0.0],0.7730076532614859,[0.6333152055740356; 0.7460718154907227; 0.27174896001815796; 0.8821633458137512; 0.7403320074081421]
56,0.6873091742166094,[0.0; 0.0; 0.0; 0.0; 0.0],0.7716280849356401,[0.6627682447433472; 0.7295305728912354; 0.29123836755752563; 0.8847745656967163; 0.7170230150222778]
57,0.687556402835888,[0.0; 0.0; 0.0; 0.0; 0.0],0.7876905955766377,[0.6350530982017517; 0.7624215483665466; 0.29565954208374023; 0.8844134211540222; 0.7326585054397583]
